Path,XMin,YMin,XMax,YMax
1.png,0.45535699999999996,0.65896,0.690476,0.811175
2.png,0.11011900000000001,0.672447,0.318452,0.749518
3.png,0.42261899999999997,0.651252,0.669643,0.793834
4.png,0.0,0.003854,0.9910709999999999,0.9845860000000001
5.png,0.139881,0.707129,0.467262,0.843931
6.png,0.004375,0.355833,0.68,0.726667
7.png,0.005,0.0,0.999375,0.999167
8.png,0.45875,0.4606,0.543125,0.9990620000000001
9.png,0.775,0.43996199999999996,0.800625,0.50469
10.png,0.334852,0.321306,0.740319,0.420962
11.png,0.36901999999999996,0.101375,0.6127560000000001,0.431271
12.png,0.031891,0.020619,0.8929379999999999,0.946735
15.png,0.65,0.275,0.81,0.45375
16.png,0.0,0.0,0.858333,0.99875
17.png,0.315625,0.014062,0.721875,0.976562
18.png,0.238125,0.447467,0.321875,0.871482
23.png,0.099698,0.036939,0.9244709999999999,0.74934
24.png,0.51937,0.607813,0.6646489999999999,0.884375
25.png,0.387409,0.671875,0.497579,0.8273440000000001
26.png,0.035108999999999994,0.207031,0.320823,0.645312
27.png,0.054479,0.142188,0.152542,0.277344
28.png,0.312349,0.2,0.5581109999999999,0.358594
29.png,0.318402,0.146875,0.365617,0.222656
30.png,0.331719,0.234375,0.802663,0.46640600000000004
31.png,0.376513,0.178125,0.400726,0.2125
32.png,0.447942,0.142188,0.483051,0.19375
33.png,0.483051,0.092188,0.5544789999999999,0.182812
34.png,0.571429,0.12109400000000001,0.642857,0.18125
35.png,0.784504,0.049219,0.953995,0.28281300000000004
36.png,0.027844999999999998,0.259375,0.317191,0.6132810000000001
37.png,0.046005000000000004,0.18046900000000002,0.144068,0.269531
38.png,0.317191,0.159375,0.376513,0.219531
39.png,0.323245,0.219531,0.507264,0.33125
40.png,0.360775,0.273438,0.749395,0.446875
41.png,0.445521,0.16484400000000002,0.49878900000000004,0.19609400000000002
42.png,0.485472,0.11328099999999999,0.562954,0.185156
43.png,0.530266,0.642969,0.658596,0.8679690000000001
44.png,0.576271,0.1375,0.6477,0.182031
45.png,0.802663,0.096094,0.9273610000000001,0.283594
46.png,0.494375,0.8283299999999999,0.5775,0.954034
48.png,0.475,0.5525,0.566875,0.723333
49.png,0.168125,0.276667,0.395625,0.505833
50.png,0.17875,0.0625,0.21,0.25166700000000003
51.png,0.229375,0.756667,0.311875,0.923333
52.png,0.229375,0.29,0.313125,0.475833
53.png,0.233125,0.535833,0.314375,0.703333
54.png,0.24125,0.07083300000000001,0.285,0.23333299999999998
55.png,0.28875,0.043332999999999997,0.379375,0.264167
56.png,0.466875,0.0525,0.525,0.25416700000000003
57.png,0.509375,0.291667,0.5575,0.44
58.png,0.515,0.751667,0.546875,0.9425
59.png,0.68375,0.31083299999999997,0.771875,0.4625
60.png,0.698125,0.768333,0.764375,0.918333
61.png,0.700625,0.548333,0.7625,0.734167
62.png,0.161875,0.035833,0.855625,0.968333
63.png,0.5225,0.16,0.541875,0.23083299999999998
64.png,0.618125,0.79,0.6375,0.896667
65.png,0.63875,0.828333,0.67375,0.896667
