ImageID,OriginalURL,OriginalLandingURL,XMin,YMin,XMax,YMax
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.455357,0.65896,0.690476,0.811175
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.110119,0.672447,0.318452,0.749518
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.422619,0.651252,0.669643,0.793834
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.0,0.003854,0.991071,0.984586
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.139881,0.707129,0.467262,0.843931
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.004375,0.355833,0.68,0.726667
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.005,0.0,0.999375,0.999167
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.45875,0.4606,0.543125,0.999062
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.775,0.439962,0.800625,0.50469
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.0,0.075188,0.4,0.817043
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.123333,0.045113,0.995,0.847118
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.65,0.275,0.81,0.45375
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.0,0.0,0.858333,0.99875
008e21d5e838a182,https://farm3.staticflickr.com/7362/12143702774_a483434d82_o.jpg,https://www.flickr.com/photos/donaldmctim/12143702774,0.315625,0.014062,0.721875,0.976562
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.098462,0.13099,0.273846,0.904153
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.233846,0.102236,0.387692,0.792332
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.353846,0.070288,0.492308,0.699681
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.566154,0.204473,0.909231,0.744409
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.0,0.629167,0.413146,0.991667
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.692488,0.466667,0.78169,0.720833
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.007042,0.666667,0.373239,0.9875
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.131455,0.483333,0.258216,0.7125
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.537559,0.691667,0.997653,0.979167
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.0,0.4875,0.058685,0.625
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.00939,0.5625,0.140845,0.804167
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.065728,0.4875,0.176056,0.7875
